class,dataset_type,value
73e76edb90914783b0fd732ea53b2e46,caption,[]
6914d1e81eeb4377b61af0e5321ede5b,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy']"
6914d1e81eeb4377b61af0e5321ede5b,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
6914d1e81eeb4377b61af0e5321ede5b,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr']"
6914d1e81eeb4377b61af0e5321ede5b,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
6914d1e81eeb4377b61af0e5321ede5b,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
6914d1e81eeb4377b61af0e5321ede5b,caption,[]
1712bababe864915ab50157fca338db2,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy']"
1712bababe864915ab50157fca338db2,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
1712bababe864915ab50157fca338db2,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr']"
1712bababe864915ab50157fca338db2,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
1712bababe864915ab50157fca338db2,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
1712bababe864915ab50157fca338db2,caption,[]
dbf0dbcf4229429088b0a984e8f05666,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy']"
dbf0dbcf4229429088b0a984e8f05666,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
dbf0dbcf4229429088b0a984e8f05666,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr']"
dbf0dbcf4229429088b0a984e8f05666,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
dbf0dbcf4229429088b0a984e8f05666,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png']"
dbf0dbcf4229429088b0a984e8f05666,caption,[]
9dbad8f4c1ce472698595bd873067b48,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy', '009.npy']"
9dbad8f4c1ce472698595bd873067b48,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png']"
9dbad8f4c1ce472698595bd873067b48,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr', '009.exr']"
9dbad8f4c1ce472698595bd873067b48,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png']"
9dbad8f4c1ce472698595bd873067b48,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png']"
9dbad8f4c1ce472698595bd873067b48,caption,[]
e3613e555e304e0a8f2054c30cc0ead3,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy']"
e3613e555e304e0a8f2054c30cc0ead3,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png']"
e3613e555e304e0a8f2054c30cc0ead3,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr']"
e3613e555e304e0a8f2054c30cc0ead3,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png']"
e3613e555e304e0a8f2054c30cc0ead3,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png']"
e3613e555e304e0a8f2054c30cc0ead3,caption,[]
c10d42bd12b2497ba5ced33dd50e3f1a,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy']"
c10d42bd12b2497ba5ced33dd50e3f1a,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
c10d42bd12b2497ba5ced33dd50e3f1a,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr']"
c10d42bd12b2497ba5ced33dd50e3f1a,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
c10d42bd12b2497ba5ced33dd50e3f1a,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
c10d42bd12b2497ba5ced33dd50e3f1a,caption,[]
31276ffbcf2042f2b420b6a64e45789c,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy']"
31276ffbcf2042f2b420b6a64e45789c,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
31276ffbcf2042f2b420b6a64e45789c,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr']"
31276ffbcf2042f2b420b6a64e45789c,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
31276ffbcf2042f2b420b6a64e45789c,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
31276ffbcf2042f2b420b6a64e45789c,caption,[]
52b004ca285a41f7b24d1a930f6dbc2d,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy']"
52b004ca285a41f7b24d1a930f6dbc2d,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png']"
52b004ca285a41f7b24d1a930f6dbc2d,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr']"
52b004ca285a41f7b24d1a930f6dbc2d,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png']"
52b004ca285a41f7b24d1a930f6dbc2d,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png']"
52b004ca285a41f7b24d1a930f6dbc2d,caption,[]
cae2c1c03e864260adb18afd8665a6fc,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy']"
cae2c1c03e864260adb18afd8665a6fc,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
cae2c1c03e864260adb18afd8665a6fc,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr']"
cae2c1c03e864260adb18afd8665a6fc,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
cae2c1c03e864260adb18afd8665a6fc,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
cae2c1c03e864260adb18afd8665a6fc,caption,[]
e9bc3d3838514df2b7767c4f58e5460a,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy']"
e9bc3d3838514df2b7767c4f58e5460a,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
e9bc3d3838514df2b7767c4f58e5460a,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr']"
e9bc3d3838514df2b7767c4f58e5460a,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
e9bc3d3838514df2b7767c4f58e5460a,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
e9bc3d3838514df2b7767c4f58e5460a,caption,[]
ea0403b2ae8649e087ac21047e51439b,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy']"
ea0403b2ae8649e087ac21047e51439b,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
ea0403b2ae8649e087ac21047e51439b,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr']"
ea0403b2ae8649e087ac21047e51439b,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
ea0403b2ae8649e087ac21047e51439b,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
ea0403b2ae8649e087ac21047e51439b,caption,[]
f5b46e48506b44e99b76c12dd9b6b09e,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy']"
f5b46e48506b44e99b76c12dd9b6b09e,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
f5b46e48506b44e99b76c12dd9b6b09e,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr']"
f5b46e48506b44e99b76c12dd9b6b09e,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
f5b46e48506b44e99b76c12dd9b6b09e,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
f5b46e48506b44e99b76c12dd9b6b09e,caption,[]
dfa20b772525425694ccbb39f74f8b57,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy']"
dfa20b772525425694ccbb39f74f8b57,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
dfa20b772525425694ccbb39f74f8b57,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr']"
dfa20b772525425694ccbb39f74f8b57,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
dfa20b772525425694ccbb39f74f8b57,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
dfa20b772525425694ccbb39f74f8b57,caption,[]
e6a03065979847c9b6981938d1659575,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy']"
e6a03065979847c9b6981938d1659575,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
e6a03065979847c9b6981938d1659575,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr']"
e6a03065979847c9b6981938d1659575,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
e6a03065979847c9b6981938d1659575,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png']"
e6a03065979847c9b6981938d1659575,caption,[]
b42f9fe550484b7f88396e74693ee42a,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy']"
b42f9fe550484b7f88396e74693ee42a,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png']"
b42f9fe550484b7f88396e74693ee42a,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr']"
b42f9fe550484b7f88396e74693ee42a,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png']"
b42f9fe550484b7f88396e74693ee42a,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png']"
b42f9fe550484b7f88396e74693ee42a,caption,[]
8015ed2937b6422b9f7092a096c9453b,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy', '009.npy', '010.npy', '011.npy', '012.npy']"
8015ed2937b6422b9f7092a096c9453b,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png', '012.png']"
8015ed2937b6422b9f7092a096c9453b,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr', '009.exr', '010.exr', '011.exr', '012.exr']"
8015ed2937b6422b9f7092a096c9453b,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png', '012.png']"
8015ed2937b6422b9f7092a096c9453b,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png', '012.png']"
8015ed2937b6422b9f7092a096c9453b,caption,[]
53a6eb7ccf054aa2a378dd7ec08f88fe,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy', '009.npy', '010.npy', '011.npy']"
53a6eb7ccf054aa2a378dd7ec08f88fe,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png']"
53a6eb7ccf054aa2a378dd7ec08f88fe,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr', '009.exr', '010.exr', '011.exr']"
53a6eb7ccf054aa2a378dd7ec08f88fe,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png']"
53a6eb7ccf054aa2a378dd7ec08f88fe,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png']"
53a6eb7ccf054aa2a378dd7ec08f88fe,caption,[]
d5b01ea213cd490eaf98d0fb68848306,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy', '009.npy', '010.npy', '011.npy']"
d5b01ea213cd490eaf98d0fb68848306,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png']"
d5b01ea213cd490eaf98d0fb68848306,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr', '009.exr', '010.exr', '011.exr']"
d5b01ea213cd490eaf98d0fb68848306,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png']"
d5b01ea213cd490eaf98d0fb68848306,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png']"
d5b01ea213cd490eaf98d0fb68848306,caption,[]
bef74ed402cc40e996eea028668d3c1c,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy', '009.npy', '010.npy', '011.npy', '012.npy']"
bef74ed402cc40e996eea028668d3c1c,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png', '012.png']"
bef74ed402cc40e996eea028668d3c1c,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr', '009.exr', '010.exr', '011.exr', '012.exr']"
bef74ed402cc40e996eea028668d3c1c,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png', '012.png']"
bef74ed402cc40e996eea028668d3c1c,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png', '012.png']"
bef74ed402cc40e996eea028668d3c1c,caption,[]
b08743c2c4734fb98a4e0a2f5767c318,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy', '009.npy', '010.npy', '011.npy']"
b08743c2c4734fb98a4e0a2f5767c318,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png']"
b08743c2c4734fb98a4e0a2f5767c318,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr', '009.exr', '010.exr', '011.exr']"
b08743c2c4734fb98a4e0a2f5767c318,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png']"
b08743c2c4734fb98a4e0a2f5767c318,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png']"
b08743c2c4734fb98a4e0a2f5767c318,caption,[]
725065392aad4b04b7a172f8cd965497,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy', '009.npy', '010.npy', '011.npy', '012.npy']"
725065392aad4b04b7a172f8cd965497,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png', '012.png']"
725065392aad4b04b7a172f8cd965497,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr', '009.exr', '010.exr', '011.exr', '012.exr']"
725065392aad4b04b7a172f8cd965497,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png', '012.png']"
725065392aad4b04b7a172f8cd965497,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png', '012.png']"
725065392aad4b04b7a172f8cd965497,caption,[]
6cd4c51f23fe47049b78fdf1de5c8c90,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy', '009.npy', '010.npy', '011.npy']"
6cd4c51f23fe47049b78fdf1de5c8c90,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png']"
6cd4c51f23fe47049b78fdf1de5c8c90,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr', '009.exr', '010.exr', '011.exr']"
6cd4c51f23fe47049b78fdf1de5c8c90,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png']"
6cd4c51f23fe47049b78fdf1de5c8c90,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png']"
6cd4c51f23fe47049b78fdf1de5c8c90,caption,[]
bcd3e5f5458c4c47a7cb27d0e2b86462,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy', '009.npy', '010.npy', '011.npy', '012.npy']"
bcd3e5f5458c4c47a7cb27d0e2b86462,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png', '012.png']"
bcd3e5f5458c4c47a7cb27d0e2b86462,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr', '009.exr', '010.exr', '011.exr', '012.exr']"
bcd3e5f5458c4c47a7cb27d0e2b86462,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png', '012.png']"
bcd3e5f5458c4c47a7cb27d0e2b86462,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png', '010.png', '011.png', '012.png']"
bcd3e5f5458c4c47a7cb27d0e2b86462,caption,[]
21508564b7734960bd37c776c94ca3dc,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy', '009.npy']"
21508564b7734960bd37c776c94ca3dc,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png']"
21508564b7734960bd37c776c94ca3dc,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr', '009.exr']"
21508564b7734960bd37c776c94ca3dc,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png']"
21508564b7734960bd37c776c94ca3dc,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png']"
21508564b7734960bd37c776c94ca3dc,caption,[]
1d06f22bebf14595bd644e2a716455a2,annotation,"['000.npy', '001.npy', '002.npy', '003.npy', '004.npy', '005.npy', '006.npy', '007.npy', '008.npy', '009.npy']"
1d06f22bebf14595bd644e2a716455a2,cannyedge_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png']"
1d06f22bebf14595bd644e2a716455a2,depth,"['000.exr', '001.exr', '002.exr', '003.exr', '004.exr', '005.exr', '006.exr', '007.exr', '008.exr', '009.exr']"
1d06f22bebf14595bd644e2a716455a2,image_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png']"
1d06f22bebf14595bd644e2a716455a2,normal_render,"['000.png', '001.png', '002.png', '003.png', '004.png', '005.png', '006.png', '007.png', '008.png', '009.png']"
1d06f22bebf14595bd644e2a716455a2,caption,[]
